customer_id,customer_name,email,phone,address,created_at
1,Customer_1,customer1@example.com,+1-555-0001,"1 Main St, City_1, Country",2022-04-13
2,Customer_2,customer2@example.com,+1-555-0002,"2 Main St, City_2, Country",2022-12-15
3,Customer_3,customer3@example.com,+1-555-0003,"3 Main St, City_3, Country",2022-09-28
4,Customer_4,customer4@example.com,+1-555-0004,"4 Main St, City_4, Country",2022-04-17
5,Customer_5,customer5@example.com,+1-555-0005,"5 Main St, City_5, Country",2022-03-13
6,Customer_6,customer6@example.com,+1-555-0006,"6 Main St, City_6, Country",2022-07-08
7,Customer_7,customer7@example.com,+1-555-0007,"7 Main St, City_7, Country",2022-01-21
8,Customer_8,customer8@example.com,+1-555-0008,"8 Main St, City_8, Country",2022-04-13
9,Customer_9,customer9@example.com,+1-555-0009,"9 Main St, City_9, Country",2022-05-02
10,Customer_10,customer10@example.com,+1-555-0010,"10 Main St, City_10, Country",2022-08-03
11,Customer_11,customer11@example.com,+1-555-0011,"11 Main St, City_11, Country",2022-11-27
12,Customer_12,customer12@example.com,+1-555-0012,"12 Main St, City_12, Country",2022-03-29
13,Customer_13,customer13@example.com,+1-555-0013,"13 Main St, City_13, Country",2022-04-10
14,Customer_14,customer14@example.com,+1-555-0014,"14 Main St, City_14, Country",2022-12-26
15,Customer_15,customer15@example.com,+1-555-0015,"15 Main St, City_15, Country",2022-06-01
16,Customer_16,customer16@example.com,+1-555-0016,"16 Main St, City_16, Country",2022-05-11
17,Customer_17,customer17@example.com,+1-555-0017,"17 Main St, City_17, Country",2022-05-30
18,Customer_18,customer18@example.com,+1-555-0018,"18 Main St, City_18, Country",2022-11-05
19,Customer_19,customer19@example.com,+1-555-0019,"19 Main St, City_19, Country",2022-09-15
20,Customer_20,customer20@example.com,+1-555-0020,"20 Main St, City_20, Country",2022-12-10
21,Customer_21,customer21@example.com,+1-555-0021,"21 Main St, City_21, Country",2022-10-21
22,Customer_22,customer22@example.com,+1-555-0022,"22 Main St, City_22, Country",2022-07-11
23,Customer_23,customer23@example.com,+1-555-0023,"23 Main St, City_23, Country",2022-10-04
24,Customer_24,customer24@example.com,+1-555-0024,"24 Main St, City_24, Country",2022-06-10
25,Customer_25,customer25@example.com,+1-555-0025,"25 Main St, City_25, Country",2022-11-10
26,Customer_26,customer26@example.com,+1-555-0026,"26 Main St, City_26, Country",2022-01-22
27,Customer_27,customer27@example.com,+1-555-0027,"27 Main St, City_27, Country",2022-09-10
28,Customer_28,customer28@example.com,+1-555-0028,"28 Main St, City_28, Country",2022-08-24
29,Customer_29,customer29@example.com,+1-555-0029,"29 Main St, City_29, Country",2022-12-11
30,Customer_30,customer30@example.com,+1-555-0030,"30 Main St, City_30, Country",2022-02-18
31,Customer_31,customer31@example.com,+1-555-0031,"31 Main St, City_31, Country",2022-02-28
32,Customer_32,customer32@example.com,+1-555-0032,"32 Main St, City_32, Country",2022-06-19
33,Customer_33,customer33@example.com,+1-555-0033,"33 Main St, City_33, Country",2022-07-07
34,Customer_34,customer34@example.com,+1-555-0034,"34 Main St, City_34, Country",2022-09-28
35,Customer_35,customer35@example.com,+1-555-0035,"35 Main St, City_35, Country",2022-07-09
36,Customer_36,customer36@example.com,+1-555-0036,"36 Main St, City_36, Country",2022-06-24
37,Customer_37,customer37@example.com,+1-555-0037,"37 Main St, City_37, Country",2022-02-20
38,Customer_38,customer38@example.com,+1-555-0038,"38 Main St, City_38, Country",2022-12-30
39,Customer_39,customer39@example.com,+1-555-0039,"39 Main St, City_39, Country",2022-02-24
40,Customer_40,customer40@example.com,+1-555-0040,"40 Main St, City_40, Country",2022-09-01
41,Customer_41,customer41@example.com,+1-555-0041,"41 Main St, City_41, Country",2022-11-16
42,Customer_42,customer42@example.com,+1-555-0042,"42 Main St, City_42, Country",2022-05-11
43,Customer_43,customer43@example.com,+1-555-0043,"43 Main St, City_43, Country",2022-11-03
44,Customer_44,customer44@example.com,+1-555-0044,"44 Main St, City_44, Country",2022-05-15
45,Customer_45,customer45@example.com,+1-555-0045,"45 Main St, City_45, Country",2022-01-21
46,Customer_46,customer46@example.com,+1-555-0046,"46 Main St, City_46, Country",2022-11-25
47,Customer_47,customer47@example.com,+1-555-0047,"47 Main St, City_47, Country",2022-06-16
48,Customer_48,customer48@example.com,+1-555-0048,"48 Main St, City_48, Country",2022-10-01
49,Customer_49,customer49@example.com,+1-555-0049,"49 Main St, City_49, Country",2022-03-30
50,Customer_50,customer50@example.com,+1-555-0050,"50 Main St, City_50, Country",2022-11-12
51,Customer_51,customer51@example.com,+1-555-0051,"51 Main St, City_51, Country",2022-01-14
52,Customer_52,customer52@example.com,+1-555-0052,"52 Main St, City_52, Country",2022-08-30
53,Customer_53,customer53@example.com,+1-555-0053,"53 Main St, City_53, Country",2022-09-22
54,Customer_54,customer54@example.com,+1-555-0054,"54 Main St, City_54, Country",2022-12-12
55,Customer_55,customer55@example.com,+1-555-0055,"55 Main St, City_55, Country",2022-02-22
56,Customer_56,customer56@example.com,+1-555-0056,"56 Main St, City_56, Country",2022-12-06
57,Customer_57,customer57@example.com,+1-555-0057,"57 Main St, City_57, Country",2022-04-02
58,Customer_58,customer58@example.com,+1-555-0058,"58 Main St, City_58, Country",2022-09-21
59,Customer_59,customer59@example.com,+1-555-0059,"59 Main St, City_59, Country",2022-02-04
60,Customer_60,customer60@example.com,+1-555-0060,"60 Main St, City_60, Country",2022-07-25
61,Customer_61,customer61@example.com,+1-555-0061,"61 Main St, City_61, Country",2022-03-22
62,Customer_62,customer62@example.com,+1-555-0062,"62 Main St, City_62, Country",2022-02-19
63,Customer_63,customer63@example.com,+1-555-0063,"63 Main St, City_63, Country",2022-12-26
64,Customer_64,customer64@example.com,+1-555-0064,"64 Main St, City_64, Country",2022-01-02
65,Customer_65,customer65@example.com,+1-555-0065,"65 Main St, City_65, Country",2022-02-23
66,Customer_66,customer66@example.com,+1-555-0066,"66 Main St, City_66, Country",2022-04-16
67,Customer_67,customer67@example.com,+1-555-0067,"67 Main St, City_67, Country",2022-09-17
68,Customer_68,customer68@example.com,+1-555-0068,"68 Main St, City_68, Country",2022-11-06
69,Customer_69,customer69@example.com,+1-555-0069,"69 Main St, City_69, Country",2022-07-10
70,Customer_70,customer70@example.com,+1-555-0070,"70 Main St, City_70, Country",2022-08-06
71,Customer_71,customer71@example.com,+1-555-0071,"71 Main St, City_71, Country",2022-02-13
